Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,412,100,97,9,0.8046875,0.9786223277909739,0.7355040572965021,0.5369991064677986,
BOOKKEEPER,4,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,383,20,101,86,0.9503722084367245,0.8166311300639659,0.8256709369328094,0.5417173508419678,
BOOKKEEPER,5,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,402,98,99,19,0.804,0.9548693586698337,0.7287037148679117,0.5120328253856846,
BOOKKEEPER,6,IBK,OVERSAMPLING,NO,SENSITIVE THRESHOLD,456,0,0,200,1.0,0.6951219512195121,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,61,24,130,87,0.7176470588235294,0.41216216216216217,0.7927123552123552,0.25846126620360127,
BOOKKEEPER,2,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,100,8,184,172,0.9259259259259259,0.36764705882352944,0.8583697150735294,0.2896026129559063,
BOOKKEEPER,3,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,361,27,170,60,0.9304123711340206,0.8574821852731591,0.9238759540374019,0.6896909953481928,
BOOKKEEPER,4,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,295,7,114,174,0.9768211920529801,0.6289978678038379,0.8509224832155633,0.37773142051347774,
BOOKKEEPER,5,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,322,50,147,99,0.8655913978494624,0.7648456057007126,0.8066423912126072,0.4793214588634437,
BOOKKEEPER,6,RANDOM FOREST,OVERSAMPLING,NO,SENSITIVE LEARNING,307,0,0,349,1.0,0.4679878048780488,NaN,0.0,
BOOKKEEPER,1,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,1,2,152,147,0.3333333333333333,0.006756756756756757,0.8177430677430677,-0.006351478284206237,
BOOKKEEPER,2,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,187,41,151,85,0.8201754385964912,0.6875,0.7950846354166666,0.4585062240663901,
BOOKKEEPER,3,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,385,127,70,36,0.751953125,0.9144893111638955,0.82451740477712,0.3076225170114784,
BOOKKEEPER,4,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,299,47,74,170,0.8641618497109826,0.6375266524520256,0.6800031718620593,0.1808806029353432,
BOOKKEEPER,5,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,397,119,78,24,0.7693798449612403,0.9429928741092637,0.7832029130544872,0.38881281380970173,
BOOKKEEPER,6,NAIVE BAYES,OVERSAMPLING,NO,SENSITIVE LEARNING,121,0,0,535,1.0,0.18445121951219512,NaN,0.0,
BOOKKEEPER,1,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,123,41,113,25,0.75,0.831081081081081,0.7501535626535627,0.5636602451838879,
BOOKKEEPER,2,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,14,1,191,258,0.9333333333333333,0.051470588235294115,0.6078527113970589,0.03865352617432482,
BOOKKEEPER,3,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,398,68,129,23,0.8540772532188842,0.9453681710213777,0.7951155696492519,0.6390233256736461,
BOOKKEEPER,4,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,207,12,109,262,0.9452054794520548,0.44136460554371004,0.6733510722655905,0.1937076679069117,
BOOKKEEPER,5,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,399,82,115,22,0.8295218295218295,0.9477434679334917,0.7678177411770379,0.5783617828043612,
BOOKKEEPER,6,IBK,OVERSAMPLING,NO,SENSITIVE LEARNING,425,0,0,231,1.0,0.6478658536585366,NaN,0.0,
BOOKKEEPER,1,RANDOM FOREST,SMOTE,NO,NO,136,15,139,12,0.9006622516556292,0.918918918918919,0.9626842751842751,0.8211920529801324,
